ms,x,y
3943,178,1739,137
3952,760,1744,137
3962,570,1750,138
3972,770,1755,138
3982,855,1759,138
3992,723,1764,138
4003,058,1768,138
4012,823,1771,138
4022,880,1774,137
4033,308,1778,137
4043,128,1782,136
4052,878,1784,136
4063,251,1787,135
4072,859,1790,134
4082,904,1792,134
4092,594,1794,134
4102,757,1796,133
4112,825,1798,133
4133,067,1800,132
4172,788,1801,132
4222,745,1800,132
4243,053,1799,132
4263,688,1798,132
4283,192,1797,132
4303,029,1796,132
4313,395,1795,132
4322,981,1794,132
4343,800,1792,132
4353,315,1791,132
4362,916,1789,132
4373,202,1785,132
4383,121,1780,132
4393,376,1768,133
4403,047,1750,133
4413,157,1713,133
4422,972,1661,135
4433,287,1600,138
4443,997,1546,138
4452,770,1497,142
4462,667,1456,144
4473,106,1416,150
4482,996,1383,156
4492,799,1346,166
4502,944,1305,179
4513,249,1263,195
4523,799,1215,213
4533,206,1171,226
4544,085,1126,242
4553,315,1086,253
4563,267,1049,261
4573,257,1016,269
4583,240,989,274
4593,524,967,277
4603,205,950,280
4613,394,935,281
4622,970,923,283
4633,450,911,284
4642,851,901,285
4653,531,893,286
4663,003,886,286
4673,418,881,286
4683,503,875,287
4693,020,870,287
4703,070,866,287
4713,595,863,287
4723,392,860,287
4732,923,857,287
4743,279,855,287
4753,734,852,287
4763,720,850,288
4773,018,849,288
4783,359,847,288
4794,686,845,289
4813,328,844,290
4823,479,843,291
4833,432,842,292
4843,066,842,294
4853,596,841,297
4863,224,841,302
4873,438,841,312
4883,297,842,328
4893,191,843,354
4903,138,845,385
4913,700,847,410
4923,116,848,428
4933,218,851,442
4943,411,854,454
4953,286,857,461
4963,201,861,469
4973,603,866,475
4983,393,872,478
4993,354,879,482
5004,119,890,486
5013,293,901,487
5023,265,917,490
5033,742,931,490
5043,095,948,491
5053,410,961,491
5063,414,973,493
5074,183,983,493
5083,205,990,492
5093,190,994,492
5103,555,997,492
5113,560,998,492
5123,067,999,492
5143,600,1000,492
5173,456,999,492
5203,363,998,492
5223,158,997,493
5243,501,996,493
5283,726,995,493
5303,629,994,493
5333,518,994,494
5363,853,993,494
5423,822,992,494
5493,537,991,494
5553,760,990,494
5583,898,989,494
5635,767,988,494
5663,665,987,494
5703,746,986,494
5833,865,985,494
5893,682,984,494
6144,167,985,494
6235,313,986,494
6304,171,987,494
6314,139,987,493
6454,145,987,492
6474,067,987,491
6483,869,987,489
6495,140,987,486
6503,754,987,480
6513,868,987,472
6525,404,988,460
6533,818,988,449
6543,892,990,437
6553,957,991,425
6563,834,992,413
6573,767,995,403
6584,370,997,394
6594,223,1001,384
6603,655,1007,374
6614,223,1010,366
6623,924,1017,356
6633,927,1022,347
6644,146,1029,338
6653,758,1035,330
6664,105,1040,321
6674,475,1045,314
6683,996,1050,308
6693,778,1055,300
6703,944,1057,295
6714,118,1059,291
6724,072,1061,286
6733,894,1062,284
6744,042,1062,282
6754,229,1062,280
6774,041,1062,279
6783,802,1060,279
6794,305,1058,279
6805,171,1055,281
6813,979,1048,284
6823,981,1037,291
6835,036,1005,304
6843,943,942,339
6854,024,869,403
6864,840,792,483
6874,446,718,565
6884,954,647,642
6894,163,586,711
6903,991,537,760
6915,289,498,794
6924,231,464,818
6933,764,440,834
6944,082,417,847
6954,137,398,856
6963,870,384,862
6973,972,370,867
6984,164,357,871
6994,830,346,875
7003,903,336,878
7014,677,325,882
7024,258,315,884
7034,462,306,887
7044,129,297,890
7054,246,290,892
7064,212,283,894
7074,219,276,898
7084,140,268,900
7094,033,263,903
7103,919,256,904
7114,580,250,906
7124,027,244,908
7134,280,237,911
7144,452,232,912
7154,082,226,914
7164,185,221,915
7174,327,215,917
7183,959,210,919
7194,631,204,921
7204,355,199,922
7214,122,194,924
7224,078,191,925
7234,466,186,927
7244,284,184,928
7254,041,180,930
7264,158,177,931
7274,644,173,933
7284,119,170,934
7294,172,166,936
7304,294,163,937
7314,321,161,938
7324,131,157,938
7334,819,155,940
7344,305,152,941
7354,145,150,942
7364,412,147,943
7374,504,145,944
7384,007,142,945
7394,732,141,946
7404,006,139,946
7414,654,138,946
7424,597,137,947
7434,532,136,947
7444,845,135,948
7464,350,135,949
7484,224,134,949
7534,435,134,950
7584,791,135,951
7604,433,136,951
7624,706,137,951
7644,659,138,951
7654,205,139,951
7674,831,141,950
7684,428,144,949
7694,932,149,948
7704,367,161,946
7715,240,180,943
7724,154,230,931
7734,379,291,909
7744,692,361,873
7754,395,436,820
7764,372,508,758
7775,148,573,706
7784,324,631,661
7794,765,689,623
7804,253,752,585
7814,353,818,552
7824,482,888,518
7836,411,963,487
7844,508,1035,459
7854,140,1101,431
7865,446,1166,403
7874,679,1228,379
7884,494,1287,354
7894,970,1339,330
7904,262,1391,312
7915,303,1437,291
7924,616,1482,273
7934,582,1520,258
7945,118,1555,244
7954,874,1584,232
7964,506,1609,221
7974,277,1631,211
7984,352,1650,203
7994,445,1665,198
8004,267,1679,192
8014,479,1691,187
8024,310,1703,182
8034,427,1712,178
8044,189,1723,174
8054,542,1730,171
8064,233,1739,168
8074,495,1746,166
8084,671,1755,164
8094,278,1762,161
8104,606,1769,160
8117,102,1777,159
8124,642,1785,157
8134,688,1793,155
8144,808,1802,154
8154,711,1810,153
8164,462,1821,152
8174,848,1831,150
8184,578,1840,148
8194,771,1848,147
8204,774,1855,144
8214,544,1861,143
8224,961,1867,141
8234,680,1869,140
8244,656,1872,139
8254,917,1874,137
8264,958,1875,137
8275,173,1875,135
8284,551,1875,134
8304,893,1874,133
8314,829,1873,132
8324,559,1871,131
8334,853,1868,130
8344,496,1865,129
8354,810,1862,128
8364,694,1855,127
8374,443,1848,127
8384,593,1839,126
8395,490,1831,125
8404,715,1822,125
8414,596,1814,124
8424,813,1807,124
8434,889,1803,124
8444,476,1800,124
8454,617,1798,124
8464,597,1797,123
8474,627,1796,123
8536,222,1797,123
8566,440,1798,123
8574,879,1799,123
8596,182,1800,123
8784,947,1799,123
8814,948,1798,123
8865,928,1797,123
8875,210,1796,123
8894,791,1795,123
8904,618,1793,123
8915,259,1792,123
8924,857,1789,124
8934,830,1784,124
8945,158,1771,124
8954,866,1738,126
8964,780,1679,131
8974,848,1607,138
8984,991,1526,162
8995,235,1442,213
9004,854,1356,285
9014,789,1270,368
9024,866,1184,452
9035,318,1101,535
9044,848,1021,606
9054,915,949,665
9065,122,879,709
9075,215,822,741
9084,909,773,767
9095,073,733,787
9105,131,698,801
9114,846,663,816
9124,880,635,825
9134,939,608,832
9144,923,584,839
9155,289,557,846
9164,794,533,853
9174,771,510,858
9184,818,490,863
9195,511,466,870
9205,032,443,875
9214,703,423,879
9224,831,403,884
9234,908,383,888
9244,952,365,894
9255,036,348,899
9264,840,329,901
9275,321,314,906
9285,166,297,908
9294,918,281,911
9305,006,264,914
9316,038,249,917
9325,205,234,918
9335,121,220,919
9345,355,207,919
9355,464,197,921
9365,809,187,922
9375,693,178,922
9385,088,171,923
9395,237,166,923
9405,096,162,924
9415,084,159,925
9426,144,157,925
9435,512,156,926
9445,135,154,926
9455,064,154,927
9466,061,153,928
9475,752,152,929
9495,606,152,930
9505,417,151,931
9525,177,150,932
9536,016,149,934
9556,333,149,935
9565,854,149,936
9575,209,148,937
9585,190,147,937
9605,105,147,938
9635,648,147,939
9716,370,147,940
9746,289,148,940
9765,204,149,940
9775,490,151,940
9785,004,152,940
9795,476,155,940
9805,363,160,938
9815,516,169,937
9824,932,184,936
9835,433,215,931
9845,052,268,924
9855,235,321,910
9865,725,373,891
9875,145,416,866
9885,931,457,836
9895,439,496,802
9905,102,532,771
9915,585,567,740
9925,212,604,714
9935,194,641,692
9945,179,681,672
9955,414,726,654
9965,606,768,637
9975,868,812,621
9985,391,853,608
9995,572,894,595
10005,415,935,584
10017,377,966,575
10025,363,997,565
10035,557,1018,559
10045,205,1035,553
10055,308,1047,549
10065,285,1056,546
10075,517,1063,544
10085,775,1067,542
10095,160,1070,541
10105,161,1073,540
10116,517,1075,540
10126,044,1076,539
10135,560,1077,539
10175,708,1078,540
10195,727,1078,541
10205,275,1078,542
10215,311,1079,543
10225,437,1079,544
10235,716,1080,545
10245,344,1081,545
10265,796,1082,545
10275,731,1083,546
10295,176,1084,546
10315,587,1085,546
10335,305,1085,547
10365,246,1084,547
10395,612,1083,547
10405,325,1082,548
10415,409,1082,549
