ms,x,y
7899,332,641,259
7909,336,644,259
7919,833,647,260
7929,509,651,261
7940,041,657,262
7949,359,662,265
7960,423,670,268
7969,542,676,272
7979,613,683,276
7989,799,688,280
7999,547,694,285
8009,445,698,291
8020,223,703,297
8029,374,707,303
8039,357,711,309
8049,384,716,315
8059,587,721,319
8069,285,725,324
8079,326,729,328
8089,539,733,331
8099,328,737,333
8109,238,740,335
8119,359,744,337
8130,591,747,338
8139,457,749,338
8149,330,753,338
8160,233,756,338
8169,237,759,338
8179,514,762,337
8189,435,765,336
8199,263,769,335
8209,176,772,334
8219,642,774,332
8229,323,777,329
8240,392,782,326
8249,433,785,321
8259,799,787,317
8269,250,790,313
8279,692,794,307
8289,365,796,300
8299,796,798,294
8309,662,799,289
8319,854,801,283
8329,472,802,278
8339,874,803,274
8349,560,803,270
8359,469,803,268
8369,635,803,265
8381,107,803,263
8389,567,803,262
8399,604,803,260
8409,938,803,258
8429,583,803,257
8439,602,803,256
8449,400,802,256
8469,731,802,255
8479,512,802,254
8500,189,802,253
8559,695,802,252
8599,705,802,251
8700,263,802,252
8789,924,802,253
8869,819,802,254
9001,001,802,255
9200,944,802,256
9240,129,802,257
9270,840,802,258
9280,049,802,259
9289,730,802,260
9300,400,802,262
9309,987,801,264
9319,888,801,266
9330,022,801,269
9339,968,800,273
9349,986,799,277
9360,223,799,280
9369,917,797,283
9379,991,796,286
9389,991,795,289
9401,037,792,291
9410,016,788,293
9421,318,784,294
9430,137,777,295
9440,059,768,296
9450,205,758,297
9460,252,746,297
9469,671,735,299
9480,235,723,299
9489,910,711,299
9500,060,701,299
9510,207,693,299
9519,907,684,298
9530,924,677,298
9540,275,672,298
9550,143,665,297
9560,400,662,297
9569,915,658,296
9580,108,655,295
9589,962,651,294
9599,942,650,294
9610,063,647,293
9620,257,645,292
9630,014,643,291
9640,865,642,290
9649,807,641,289
9660,256,639,288
9670,138,638,286
9679,925,638,285
9689,935,637,284
9701,578,636,282
9709,992,635,280
9720,751,635,279
9732,076,634,277
9740,308,634,274
9750,169,634,273
9760,068,633,271
9769,880,633,269
9780,197,632,267
9790,207,632,265
9800,902,632,263
9810,050,632,262
9820,161,631,261
9830,306,631,259
9850,045,631,257
9870,165,630,256
9880,143,630,254
9910,140,630,253
9920,424,630,252
9940,367,630,251
10510,635,630,252
10641,331,630,253
10700,997,630,254
10711,516,630,255
10730,468,630,256
10740,696,630,258
10750,568,630,259
10760,580,630,262
10770,688,630,266
10780,927,631,268
10790,629,631,272
10800,783,632,276
10810,544,633,280
10822,135,635,284
10830,717,638,288
10840,595,643,292
10850,811,648,295
10860,942,657,298
10870,625,669,300
10880,504,681,302
10891,002,694,303
10901,219,709,304
10910,558,723,306
10920,744,736,307
10930,539,746,307
10940,922,758,307
10950,464,766,307
10960,989,776,307
10970,400,783,307
10980,709,790,307
10990,750,796,306
11000,616,799,305
11010,469,803,304
11020,840,806,303
11030,663,809,302
11040,581,812,301
11051,001,813,300
11060,603,815,298
11072,177,816,297
11080,863,817,296
11090,801,817,294
11101,150,818,293
11110,632,819,290
11120,608,819,287
11130,679,819,286
11141,327,819,283
11150,735,819,279
11160,534,819,278
11170,624,819,275
11180,719,818,272
11190,489,818,271
11200,904,817,268
11210,669,817,266
11221,686,816,265
11230,751,815,264
11242,495,814,262
11250,792,813,261
11270,680,812,260
11280,682,811,259
11301,204,811,258
11310,501,810,257
11330,837,809,256
11350,789,808,255
11371,001,808,254
11411,204,808,253
11451,158,808,252
11531,040,807,253
11561,005,806,253
11621,347,806,254
11630,722,805,254
11701,957,805,255
11710,988,804,255
11891,467,803,255
11912,338,803,256
12091,324,803,257
12291,504,803,258
12351,173,803,259
12361,449,803,260
12370,926,803,261
12381,209,803,263
12391,413,803,265
12401,219,803,267
12410,878,803,270
12422,193,802,273
12431,184,802,275
12441,750,801,277
12452,136,800,280
12461,336,798,281
12471,796,795,282
12481,419,792,283
12491,181,785,285
12501,372,776,286
12511,025,764,286
12521,531,753,286
12531,179,741,286
12541,876,729,286
12551,232,718,286
12561,375,708,286
12571,185,699,286
12581,542,692,284
12591,255,685,283
12601,182,678,283
12611,592,673,282
12621,492,669,281
12631,173,664,280
12641,388,661,279
12651,272,657,278
12662,161,654,277
12671,543,652,276
12681,247,650,275
12691,222,648,274
12701,911,645,272
12711,222,644,271
12721,208,643,270
12731,673,641,269
12741,459,641,268
12751,326,640,266
12761,251,639,266
12772,190,639,264
12781,264,638,264
12791,151,638,262
12801,511,638,261
12821,327,637,260
12831,480,637,259
12841,129,637,258
12851,415,637,257
12861,465,636,256
12882,004,635,255
12901,722,635,254
12922,354,635,253
12931,496,634,253
12952,051,633,253
12961,523,633,252
12992,110,632,252
13002,162,632,251
13011,411,631,251
13032,289,630,251
13051,843,630,250
13111,671,629,250
13191,818,629,249
13612,073,629,250
13651,816,629,251
13681,542,629,252
13711,400,629,253
13721,525,630,254
13741,794,630,255
13751,371,631,257
13771,647,632,259
13782,220,633,261
13792,072,633,262
13801,713,635,265
13812,718,638,267
13822,261,641,269
13831,704,645,271
13841,756,652,275
13851,640,659,277
13862,096,668,280
13871,852,677,282
13881,681,687,283
13891,612,696,286
13901,977,705,288
13911,490,713,290
13922,247,722,291
13931,881,729,293
13942,021,738,293
13951,994,743,294
13961,726,750,295
13971,624,755,295
13982,190,760,295
13991,880,764,295
14001,767,768,295
14011,725,772,295
14021,973,775,295
14031,796,778,295
14042,901,781,294
14052,011,784,293
14062,093,785,292
14072,240,788,291
14082,374,790,290
14093,756,792,288
14102,733,793,288
14111,793,795,286
14122,466,796,284
14132,414,797,282
14142,391,798,281
14152,024,798,279
14161,922,798,277
14172,960,798,276
14182,040,798,274
14191,924,798,273
14203,025,798,270
14211,960,798,268
14222,251,797,267
14232,630,797,265
14241,831,797,263
14252,363,796,263
14262,141,796,262
14271,825,796,260
14302,553,796,259
14311,792,796,258
14352,101,796,257
14361,992,797,257
14372,016,797,256
14402,427,798,255
14422,479,799,255
14472,378,800,255
14482,359,800,254
14612,431,799,254
14652,628,798,254
14682,414,798,253
14972,235,797,253
15013,722,797,254
15022,986,796,254
15052,366,795,254
15062,207,795,255
15082,590,794,256
15092,339,794,257
15102,551,793,257
15112,521,793,258
15123,244,791,260
15132,223,790,260
15142,894,789,262
15152,856,787,264
15162,070,785,265
15172,434,782,267
15182,767,779,270
15192,195,777,272
15202,321,773,274
15212,206,768,276
15222,546,763,278
15232,402,757,281
15242,409,752,283
15252,288,746,284
15263,581,739,285
15272,467,732,286
15282,277,725,288
15292,772,718,288
15302,578,711,289
15312,995,705,289
15323,411,698,289
15332,843,691,289
15342,982,686,289
15353,021,679,287
15363,013,675,287
15373,347,670,286
15382,856,666,286
15392,400,662,285
15403,344,659,284
15412,301,657,284
15422,488,654,283
15432,334,652,282
15442,558,650,280
15452,606,649,279
15462,710,648,278
15472,382,646,278
15482,556,646,276
15492,539,645,275
15502,621,644,274
15512,584,643,273
15522,354,643,271
15532,346,642,270
15542,689,641,268
15552,461,641,266
15562,670,640,266
15572,789,640,264
15582,633,639,262
15602,308,638,260
15612,722,638,259
15622,788,638,258
15632,620,638,257
15652,290,638,256
15662,676,638,255
15672,741,638,254
15853,719,637,254
15903,242,636,254
16193,067,637,254
16232,547,637,255
16242,630,638,255
16252,722,638,256
16262,944,639,256
16282,922,640,257
16293,316,641,259
16302,616,642,259
16313,179,644,260
16322,527,645,262
16332,680,648,263
16343,151,651,265
16352,446,655,267
16362,802,659,269
16372,749,665,271
16384,157,672,273
16392,698,677,276
16402,835,685,278
16413,064,693,280
16422,971,701,284
16433,222,710,287
16442,752,717,289
16452,585,724,293
16463,234,731,295
16472,688,737,297
16482,684,744,300
16493,522,750,302
16503,102,757,304
16512,674,761,307
16522,814,767,308
16532,985,772,309
16543,021,776,310
16552,708,780,311
16563,114,785,312
16572,658,789,312
16582,969,793,313
